iter	RMSE
0	14.24260482
1	13.3683269
2	12.53031789
3	11.8991663
4	11.22266394
5	10.61326924
6	10.06755472
7	9.622083519
8	9.222656578
9	8.823846001
10	8.469571297
11	8.145717262
12	7.801885636
13	7.531117219
14	7.27761196
15	7.061895832
16	6.882416468
17	6.708312132
18	6.555224431
19	6.412463179
20	6.304890425
21	6.198399657
22	6.110837795
23	6.004206232
24	5.919598795
25	5.833730015
26	5.776915402
27	5.712160644
28	5.637760792
29	5.589571829
30	5.53744624
31	5.489883255
32	5.445719819
33	5.410714607
34	5.388227575
35	5.350725561
36	5.318679517
37	5.295840579
38	5.273528157
39	5.24488755
40	5.22748976
41	5.197886384
42	5.174202495
43	5.156311472
44	5.136041015
45	5.124438207
46	5.102806411
47	5.086805127
48	5.072421351
49	5.052141661
50	5.043411271
51	5.027669946
52	5.014735515
53	5.012400969
54	5.000068003
55	4.989247572
56	4.981676364
57	4.973319609
58	4.965716027
59	4.956373672
60	4.943185474
61	4.932918733
62	4.924174274
63	4.915539246
64	4.909274494
65	4.900545712
66	4.892461556
67	4.876264801
68	4.87099778
69	4.859363824
70	4.850215288
71	4.844099411
72	4.831977974
73	4.820721501
74	4.80876954
75	4.801389613
76	4.793385281
77	4.785240048
78	4.779273778
79	4.770804031
80	4.765841415
81	4.757277747
82	4.75165113
83	4.746599728
84	4.733023049
85	4.723645085
86	4.711147162
87	4.699215015
88	4.689810579
89	4.685661759
90	4.678757502
91	4.667908648
92	4.659879112
93	4.649233707
94	4.642270803
95	4.638238678
96	4.625204835
97	4.613735183
98	4.605710161
99	4.597819565
